generic_name,cell_line,replicate,GR_AOC,GRmax,GEC50,GR50
prexasertib,MDAMB468,3,0.23635795669885712,0.6437618046142268,0.0004992317650690635,100.0
prexasertib,MGH312,1,0.2005199003805085,0.4426384667275944,0.0,100.0
prexasertib,MGH312,2,0.08917959014850152,1.076625292229874,0.0,100.0
prexasertib,MGH312,3,-0.009351794214397125,1.141070962057583,0.0,100.0
prexasertib,PDX1206,1,0.5454483050266705,-0.5136111818744147,0.012275299121771428,0.001676797182460414
prexasertib,PDX1206,2,0.3028000228555441,-0.4975759592323581,0.04027236329041423,0.00932290837476325
prexasertib,PDX1206,3,0.4317222040700591,-0.4785762995049511,0.030152002199409146,0.003204921596684132
prexasertib,PDX1258,1,1.0349072723561195,-0.6843689641011146,0.0003665492152488464,5.0889629503679734e-05
prexasertib,PDX1258,2,0.8100042435021397,-0.3462251713434525,0.000206943710852277,0.00012807803339845582
prexasertib,PDX1258,3,0.7601575228729762,-0.4311235708356857,0.00012622619799569529,0.0001041418505243926
prexasertib,PDX1328,1,0.4834220009335395,-0.3216539268743596,0.01208296102044516,0.002050821672152185
prexasertib,PDX1328,2,0.5988891852334182,-0.287494974498338,0.0030134013322781796,0.0007324632417492935
prexasertib,PDX1328,3,0.5433618417220542,-0.3050892959989349,0.0038102301620233734,0.0009947472744200644
prexasertib,PDX1328,4,0.1743207908515945,0.7255238869191407,0.0,100.0
prexasertib,PDX1328,5,0.6064892743229491,-0.2299313118390358,0.0006333689702068128,0.00046048445406127387
prexasertib,PDX1328,6,0.2431158106520484,0.8659743733762746,0.0,100.0
prexasertib,PDXHCI002,1,0.05159934738393035,0.7056996528826291,0.407786374890083,0.35545612288443224
prexasertib,PDXHCI002,2,-0.007341939319770726,0.7254057712146071,0.36439860992345435,0.16829804333925338
prexasertib,PDXHCI002,3,0.09087276141629387,0.6841870343336889,0.006556564884725815,100.0
prexasertib,SKBR3,1,0.810758237979015,-0.3536433141667776,0.00039092842171313254,0.00035398618837106694
prexasertib,SKBR3,2,0.7870627554519447,-0.428951385879534,0.0005599217463432473,0.0004956742048361152
prexasertib,SKBR3,3,0.8092664236447884,-0.4349213888675657,0.0005514002388052309,0.00048728754429605466
prexasertib,SUM1315,1,0.89991518465359,-0.5197714591434021,0.0004666154533562529,0.00039725208836343865
prexasertib,SUM1315,2,0.7926553581960675,-0.3536868506463569,0.00047235285948241026,0.000422725443452796
prexasertib,SUM1315,3,0.7359826645515578,-0.4279419842624035,0.0006428400257034797,0.0005739923721827688
prexasertib,SUM149,1,0.7053060072739094,-0.4327287538873542,0.0005661659957157917,0.0004963939459111984
prexasertib,SUM149,2,0.6051463358590569,-0.4556462046477007,0.0005603865622176447,0.0004895529082241866
prexasertib,SUM149,3,0.7720404201024325,-0.4834846082568578,0.0006334055800162773,0.0005573729725505827
prexasertib,SUM159,1,0.5173276028142316,-0.0052882216796356,0.0007267039945144323,0.0007351028428731388
prexasertib,SUM159,2,0.5535428923605302,-0.0376740201412539,0.0005687704234941772,0.0005726893042992876
prexasertib,SUM159,3,0.5278887451343377,-0.0412472450450897,0.0007380384094900916,0.0007454157078136162
prexasertib,SUM185PE,1,0.013111470566331784,0.7097077453957354,0.0,100.0
prexasertib,SUM185PE,2,0.16022321314799648,0.5198969277090952,0.004473295287568468,100.0
prexasertib,SUM185PE,3,0.3284185642244908,0.1393005070017117,0.0,100.0
prexasertib,SUM190PT,1,0.5844101030239813,0.005136573424179,0.0003291943819664423,0.00034628953865064357
prexasertib,SUM190PT,2,0.6587558430217881,0.0186756267087468,0.00010645918356168356,0.00013801710053461724
prexasertib,SUM190PT,3,0.6078970842788238,-0.3261500212709215,0.0,-inf
prexasertib,SUM229PE,1,0.29577347820669336,-0.1748257567874771,0.07073559064886023,0.011172153397203531
prexasertib,SUM229PE,2,0.4199893675275904,-0.0595638496745674,0.007605856549243722,0.0029913878649591237
prexasertib,SUM229PE,3,0.31092374050333427,-0.1009610387173359,0.08884325721863129,0.008742013830115164
prexasertib,SUM44PE,1,0.8793817657560221,-0.7943860703332931,0.00017599736773007415,0.00016088026862433213
