agent,cell_line,GR_AOC,sigma_GR_AOC,GRmax,sigma_GRmax,GEC50,sigma_GEC50
Trametinib/GSK1120212,MDAMB453,0.2785793466067896,0.04441438353370099,0.0200926398347417,0.050999668621480886,0.0318493882139282,0.008999511105413437
Trametinib/GSK1120212,MDAMB468,0.21319600114695278,0.02347297583219168,0.4075055388379039,0.026741268812066364,0.8883322265701882,1.3037331576775884
Trametinib/GSK1120212,MGH312,-0.16922490493867767,0.16281961683538862,1.0795454968515976,0.1144624902866529,0.0,0.0
Trametinib/GSK1120212,PDX1258,0.03511901925516704,0.023919165025662926,0.8455012914675635,0.03568677804698355,0.02022191051595991,0.033606334174973426
Trametinib/GSK1120212,PDX1328,0.16585461095736292,0.1003427697956932,0.64041623413624,0.21384035809371255,0.009358550951368814,0.01283270929242106
Trametinib/GSK1120212,PDXHCI002,0.199504031149225,0.023106511008778082,0.6265374964382675,0.031991054638441485,0.0056712195371876216,0.0027237274692941296
Trametinib/GSK1120212,SKBR3,0.18164651162096596,0.022697113033964104,0.6826770522058037,0.002432793625036216,0.005520045650835829,0.005334661467388195
Trametinib/GSK1120212,SUM1315,0.3886742300875725,0.005974890475498426,0.11732998560169976,0.013834791210683999,0.016123037242355125,0.002084753007458611
Trametinib/GSK1120212,SUM149,0.3900930486922368,0.03574708016065914,0.22960142320917645,0.025550004952493793,0.006858686385474543,0.0013784703016631373
Trametinib/GSK1120212,SUM159,0.3465662158252656,0.12460434403331713,0.3994848949780188,0.13408496787573018,0.007693848980170659,0.006491766746504003
Trametinib/GSK1120212,SUM185PE,-0.01876774735972213,0.09721393107680219,0.9043341571140733,0.1806632747865498,0.0,0.0
Trametinib/GSK1120212,SUM190PT,0.07462406523902482,0.04597490705507743,0.7369610504254369,0.12126434979534556,0.021851241626349917,0.017060625925359223
Trametinib/GSK1120212,SUM229PE,0.4718331036738215,0.011228272038975258,0.1602909916397778,0.07227946114480575,0.004866133934073856,0.001245137823766823
Trametinib/GSK1120212,SUM44PE,0.1865207765558457,0.08843079572122736,0.5292718606522498,0.09377909783547005,0.030996092390168036,0.01538746245539003
Trametinib/GSK1120212,SUM52PE,0.22357461209459384,0.050923651800178375,0.5763008118621913,0.02303738452843716,0.009946705390331517,0.003292512922883905
Trametinib/GSK1120212,T47D,0.21300893960628053,0.019545847529463194,0.5800666903808825,0.09237345104814039,0.019119673634552387,0.030997417193351813
Trametinib/GSK1120212,UACC812,0.6862926678484591,0.1966568740380353,-0.11877670971689927,0.25452295369790695,0.5082020931854333,1.0102647766336323
Trametinib/GSK1120212,UACC893,0.434012367421063,0.04772011429075673,-0.07253627553482958,0.09229287828667657,0.025943463514646936,0.004570382216927088
Trametinib/GSK1120212,ZR751,0.32775192323730656,0.03641743319588318,0.2620570671904518,0.05310375850182027,0.014897670231161968,0.003745229740364559
Trametinib/GSK1120212,ZR7530,0.21855391150597997,0.13203341516170128,0.36505954755162384,0.11884563044362298,0.017948784681254496,0.012037502470668681
Volasertib/BI6727,184A1,0.5397227636676449,0.016879397212746904,-0.12958773341385224,0.029824195636465208,0.013360836833217045,0.0019258138371891955
Volasertib/BI6727,AU565,0.854686777496757,0.12023468113440886,-0.472663359276209,0.11193273172635886,0.0045593804756884635,0.0006315717607576291
Volasertib/BI6727,BT20,0.7903795267193394,0.03868369140027507,-0.5339012938186132,0.022595332860626195,0.007707746699407528,0.0018638596998684204
Volasertib/BI6727,BT474,0.6357131129998913,0.09200216598433539,-0.2843374540779444,0.05454158448410585,0.008919058689100316,0.001896090613015827
Volasertib/BI6727,BT549,0.567607587859835,0.06262919820743808,-0.22884894362101724,0.04453065764013271,0.009900693925068526,0.001868456834844438
Volasertib/BI6727,CAL120,0.6758065312137272,0.014520679992102487,0.025846862420203426,0.01765430393929898,0.0018523624412400941,0.00012615051183089974
